1;52
2;65
3;90
4;20
5;26
6;24
7;22
8;22
9;20
10;26
11;60
12;19
13;32
14;25
15;82
16;73
17;76
18;67
19;85
20;77
21;29
22;28
23;55
24;25
25;55
26;57
27;25
28;20
29;60
30;20
31;27
32;22
33;27
34;56
35;63
36;61
37;19
38;27
39;60
40;45
41;26
42;51
43;27
44;21
45;26
46;70
47;30
48;24
49;21
50;23
51;71
52;19
53;35
54;38
55;28
56;16
57;13
58;58
59;56
60;34
61;49
62;0
63;15
64;27
65;26
66;10
67;4
68;15
69;66
70;52
71;46
72;31
73;16
74;17
75;12
76;81
77;59
78;27
79;62
80;56
81;74
82;42
83;47
84;45
85;6
86;14
87;65
88;38
89;51
90;61
91;7
92;7
93;7
94;42
95;20
96;3
97;9
98;39
99;30
100;47
101;66
102;49
103;63
104;66
105;52
106;31
107;9
108;48
109;57
110;67
111;38
112;59
113;58
114;35
115;32
116;16
117;6
118;72
119;58
120;54
121;23
122;20
123;83
124;36
125;85
126;72
127;78
128;20
129;29
130;39
131;3
132;3
133;71
134;27
135;28
136;9
137;15
138;47
139;29
140;6
141;9
142;12
143;57
144;44
145;40
146;47
147;51
148;17
149;14
150;9
151;48
152;26
153;25
154;76
155;28
156;27
157;38
158;83
159;54
160;31
161;27
162;84
163;60
164;28
165;7
166;34
167;28
168;41
169;15
170;59
171;49
172;7
173;14
174;28
175;35
176;6
177;11
178;38
179;32
180;30
181;14
182;8
183;40
184;46
185;56
186;30
187;36
188;0
189;17
190;46
191;75
192;73
193;43
194;31
195;23
196;28
197;46
198;50
199;53
200;69
201;27
202;75
203;22
204;67
205;52
206;30
207;10
208;9
209;20
210;65
211;71
212;69
213;43
214;57
215;9
216;54
217;30
218;42
219;27
220;34
221;41
222;32
223;4
224;38
225;39
226;0
227;28
228;44
229;11
230;8
231;12
232;32
233;55
234;26
235;29
236;47
237;60
238;49
239;40
240;18
241;11
242;30
243;6
244;6
245;56
246;50
247;33
248;34
249;2
250;61
251;80
252;46
253;21
254;24
255;55
256;36
